deal_id,account,pipeline,stage,deal_value,sales_rep,deal_created,deal_closed,deal_activities_done,account_tier,account_province,account_store_type,account_tax_status,account_discount_pct,account_payment_terms,account_activities_done,account_deals_won
388,Account 0044,Orders,Shipped on credit,51732.0,Rep A,2022-02-04,2022-05-11,0,Potential,CABA,Art supply store,VAT registered,22.0,30 days,16.0,16.0
389,Account 0175,Orders,Shipped on credit,47486.0,Rep A,2022-08-16,2022-09-27,1,Standard,Santa Fe,Other,VAT registered,28.0,30 days,1.0,1.0
390,Account 0152,Orders,Shipped,51047.0,Rep C,2022-07-05,2022-07-22,3,Standard,CABA,Workshop,VAT registered,7.0,Upfront,7.0,3.0
391,,Orders,Shipped,49818.0,Rep C,2023-01-20,2023-01-26,1,,,,,,,,
392,Account 0176,Orders,Shipped,47280.0,Rep C,2023-02-10,2023-02-15,0,Potential,Cordoba,Art supply store,VAT registered,15.0,,2.0,1.0
393,Account 0177,Orders,Shipped,49429.0,Rep A,2022-12-26,2023-01-02,0,Standard,BA Norte,Workshop,Final consumer,15.0,,2.0,1.0
394,Account 0127,Orders,Shipped on credit,49903.0,Rep A,2023-03-14,2023-03-28,0,Potential,CABA,Art supply store,VAT registered,28.0,Upfront,21.0,3.0
395,Account 0178,Orders,Shipped,46537.0,Rep B,2022-12-23,2022-12-29,4,Standard,BA Norte,Other,VAT registered,28.0,Upfront,6.0,10.0
396,Account 0179,Orders,Shipped,48674.0,Rep B,2023-03-27,2023-04-04,3,Key,San Luis,Art supply store,Simplified regime,15.0,Upfront,9.0,6.0
397,,Active customers,Won customer,50388.0,Rep C,2021-12-21,2022-10-31,0,,,,,,,,
398,,Reseller onboarding,Onboarding,47801.0,Rep C,2022-12-06,2022-12-22,7,,,,,,,,
399,,Reseller onboarding,Onboarding,48598.0,Rep C,2022-12-06,2022-12-26,7,,,,,,,,
400,,Reseller onboarding,Onboarding,48518.0,Rep C,2022-12-12,2022-12-29,6,,,,,,,,
401,,Social media lead form,Onboarding,47833.0,Rep C,2022-12-25,2023-02-10,7,,,,,,,,
402,,Reseller onboarding,Onboarding,50842.0,Rep C,2023-01-13,2023-02-07,6,,,,,,,,
403,Account 0132,Orders,Shipped on credit,50169.0,Rep A,2023-01-30,2023-02-22,4,Potential,Tucuman,Art supply store,Final consumer,28.0,,30.0,9.0
404,Account 0072,Orders,Shipped,46876.0,Rep B,2022-12-20,2022-12-27,0,Potential,San Luis,Art supply store,Simplified regime,22.0,,4.0,3.0
405,Account 0024,Orders,Shipped,51173.0,Rep A,2022-01-25,2022-03-07,0,Strategic,CABA,Paint store,VAT registered,28.0,Upfront,13.0,33.0
406,Account 0180,Orders,Shipped on credit,50516.0,Rep A,2022-09-30,2022-11-02,2,Potential,AMBA Norte,Workshop,Final consumer,22.0,30 days,16.0,14.0
407,Account 0098,Orders,Shipped,47573.0,Rep A,2021-11-17,2022-02-15,0,Potential,San Juan,Other,Simplified regime,15.0,,11.0,4.0
408,,Reseller onboarding,Onboarding,50093.0,Rep C,2023-02-10,2023-03-21,7,,,,,,,,
409,Account 0181,Orders,Shipped,46554.0,Rep C,2023-03-21,2023-03-27,0,Standard,BA Norte,Paint store,Simplified regime,7.0,,1.0,1.0
410,Account 0155,Orders,Shipped,50805.0,Rep A,2022-01-17,2022-02-03,0,Churned,Catamarca,Art supply store,VAT registered,7.0,Upfront,11.0,3.0
411,Account 0049,Orders,Shipped,49189.0,Rep C,2022-02-18,2022-03-07,4,Standard,AMBA Sur,Art supply store,VAT registered,28.0,,10.0,3.0
412,Account 0040,Orders,Shipped on credit,49100.0,Rep A,2021-11-17,2022-01-21,0,Strategic,Santiago del Estero,Paint store,VAT registered,22.0,,18.0,7.0
413,Account 0027,Orders,Shipped,46318.0,Rep A,2021-12-22,2022-01-12,0,Potential,AMBA Sur,Workshop,Simplified regime,22.0,Upfront,12.0,17.0
414,Account 0182,Orders,Shipped,50039.0,Rep A,2022-06-16,2022-07-18,3,Standard,AMBA Norte,Art supply store,VAT registered,22.0,Upfront,13.0,6.0
415,Account 0110,Orders,Shipped,45860.0,Rep C,2022-07-27,2022-08-17,7,Potential,Corrientes,Art supply store,VAT registered,15.0,,12.0,2.0
416,Account 0183,Orders,Shipped,46751.0,Rep C,2023-02-07,2023-02-09,0,Standard,San Luis,Other,VAT registered,15.0,,3.0,1.0
417,Account 0050,Orders,Shipped,46242.0,Rep B,2022-08-19,2022-10-12,6,Potential,AMBA Sur,Paint store,VAT registered,22.0,Upfront,15.0,7.0
418,Account 0040,Orders,Shipped on credit,49131.0,Rep A,2022-08-26,2022-10-17,1,Strategic,Santiago del Estero,Paint store,VAT registered,22.0,,18.0,7.0
419,Account 0008,Orders,Shipped,46277.0,Rep A,2022-05-16,2022-05-26,0,Standard,Jujuy,Workshop,Exempt,22.0,,7.0,2.0
420,Account 0122,Orders,Shipped,49547.0,Rep A,2022-05-17,2022-05-27,0,Standard,AMBA Norte,Art supply store,VAT registered,22.0,Upfront,17.0,10.0
421,Account 0087,Orders,Shipped,48301.0,Rep A,2022-09-19,2022-10-14,3,Standard,AMBA Norte,Workshop,Simplified regime,22.0,Upfront,11.0,14.0
422,Account 0184,Orders,Shipped,45210.0,Rep A,2021-10-25,2022-01-11,0,Churned,AMBA Norte,Paint store,VAT registered,7.0,,10.0,2.0
423,Account 0071,Orders,Shipped on credit,44971.0,Rep A,2022-05-31,2022-07-14,1,Potential,CABA,Art supply store,Simplified regime,22.0,30 days,20.0,14.0
424,Account 0084,Orders,Shipped on credit,45100.0,Rep B,2022-09-08,2022-10-04,3,Strategic,Neuquen,Paint store,VAT registered,22.0,,10.0,6.0
425,Account 0185,Orders,Shipped on credit,47522.0,Rep A,2022-02-03,2022-02-11,1,Key,CABA,Art supply store,VAT registered,22.0,30 days,15.0,39.0
426,Account 0186,Orders,Shipped,48362.0,Rep A,2022-09-09,2022-09-22,1,Standard,Santiago del Estero,Workshop,Simplified regime,22.0,,13.0,8.0
427,Account 0069,Orders,Shipped,45670.0,Rep A,2022-02-01,2022-02-10,2,Strategic,Santa Cruz,Other,VAT registered,15.0,,17.0,4.0
428,Account 0076,Orders,Shipped,48451.0,Rep A,2022-07-29,2022-09-23,4,Potential,Cordoba,Art supply store,Simplified regime,28.0,Upfront,15.0,4.0
429,Account 0187,Orders,Shipped,44707.0,Rep A,2022-11-24,2022-12-06,0,Standard,Santa Fe,Workshop,Final consumer,15.0,,6.0,1.0
430,Account 0188,Orders,Shipped,48110.0,Rep B,2022-10-11,2022-10-17,3,Standard,Corrientes,Art supply store,VAT registered,,,5.0,6.0
431,Account 0189,Orders,Shipped,48600.0,Rep A,2022-03-31,2022-05-02,0,Potential,BA Atlantico,Art supply store,Simplified regime,22.0,Upfront,8.0,18.0
432,,Reseller onboarding,Onboarding,47621.0,Rep C,2022-11-06,2022-11-23,8,,,,,,,,
433,Account 0169,Orders,Shipped,47278.0,Rep C,2023-03-22,2023-03-30,0,Standard,AMBA Norte,Art supply store,Simplified regime,15.0,Upfront,1.0,3.0
434,Account 0189,Orders,Shipped,47678.0,Rep B,2023-03-03,2023-03-09,2,Potential,BA Atlantico,Art supply store,Simplified regime,22.0,Upfront,8.0,18.0
435,Account 0190,Orders,Shipped on credit,43649.0,Rep A,2022-07-29,2022-08-23,2,Standard,AMBA Sur,Art supply store,Simplified regime,28.0,Upfront,14.0,5.0
436,Account 0191,Orders,Shipped,44321.0,Rep A,2022-12-12,2022-12-15,0,Low,Entre Rios,Paint store,VAT registered,7.0,Upfront,4.0,2.0
437,Account 0192,Orders,Shipped on credit,43940.0,Rep A,2022-06-06,2022-07-11,1,Key,Santa Fe,Workshop,Simplified regime,22.0,30 days,14.0,12.0
438,Account 0062,Orders,Shipped,45668.0,Rep A,2022-12-26,2023-01-02,3,Potential,Entre Rios,Paint store,VAT registered,22.0,,10.0,6.0
439,Account 0193,Orders,Shipped,46740.0,Rep A,2022-07-26,2022-08-09,6,Potential,Neuquen,Paint store,VAT registered,22.0,,13.0,1.0
440,Account 0194,Orders,Shipped,46211.0,Rep B,2023-03-01,2023-03-16,3,Standard,BA Norte,Paint store,VAT registered,,Upfront,7.0,4.0
441,Account 0142,Orders,Shipped,47188.0,Rep A,2022-08-04,2022-08-04,0,Key,Tucuman,Art supply store,Simplified regime,15.0,,12.0,2.0
442,Account 0027,Orders,Shipped,43906.0,Rep A,2021-11-18,2021-12-29,0,Potential,AMBA Sur,Workshop,Simplified regime,22.0,Upfront,12.0,17.0
443,Account 0195,Orders,Shipped,46487.0,Rep B,2022-11-02,2022-11-08,2,Potential,BA Centro,Paint store,VAT registered,22.0,,15.0,12.0
444,Account 0036,Orders,Shipped,44019.0,Rep C,2022-05-19,2022-07-07,4,Potential,Cordoba,Paint store,VAT registered,22.0,Upfront,14.0,5.0
445,Account 0122,Orders,Shipped,44335.0,Rep C,2022-03-15,2022-04-22,2,Standard,AMBA Norte,Art supply store,VAT registered,22.0,Upfront,17.0,10.0
446,Account 0050,Orders,Shipped,46265.0,Rep A,2021-10-29,2021-11-09,0,Potential,AMBA Sur,Paint store,VAT registered,22.0,Upfront,15.0,7.0
447,Account 0189,Orders,Shipped,47466.0,Rep A,2022-02-17,2022-03-10,0,Potential,BA Atlantico,Art supply store,Simplified regime,22.0,Upfront,8.0,18.0
448,Account 0016,Orders,Shipped,45475.0,Rep A,2022-03-09,2022-04-22,3,Potential,AMBA Sur,Paint store,VAT registered,15.0,Upfront,11.0,5.0
449,Account 0044,Orders,Shipped on credit,42898.0,Rep A,2022-10-28,2022-12-29,2,Potential,CABA,Art supply store,VAT registered,22.0,30 days,16.0,16.0
450,Account 0196,Orders,Shipped,45414.0,Rep A,2022-12-21,2023-01-02,0,Standard,La Pampa,Workshop,Simplified regime,15.0,Upfront,12.0,5.0
451,Account 0197,Orders,Shipped,42792.0,Rep A,2022-01-19,2022-02-01,0,Potential,Mendoza,Paint store,VAT registered,28.0,,14.0,4.0
452,Account 0145,Orders,Shipped,46519.0,Rep A,2022-01-12,2022-01-26,0,Standard,Rio Negro,Art supply store,VAT registered,28.0,,6.0,3.0
453,Account 0198,Orders,Shipped,45684.0,Rep A,2023-01-11,2023-01-17,2,Standard,Santa Fe,Art supply store,Simplified regime,15.0,,3.0,2.0
454,Account 0199,Orders,Shipped,43043.0,Rep B,2022-10-06,2022-11-02,6,Low,BA Este,Workshop,Simplified regime,15.0,Upfront,8.0,2.0
455,Account 0027,Orders,Shipped,42632.0,Rep A,2022-04-25,2022-05-10,0,Potential,AMBA Sur,Workshop,Simplified regime,22.0,Upfront,12.0,17.0
456,Account 0094,Orders,Shipped,42965.0,Rep A,2022-11-16,2022-11-22,3,Standard,CABA,Paint store,VAT registered,22.0,Upfront,10.0,6.0
457,Account 0200,Orders,Shipped,46272.0,Rep A,2022-10-12,2022-10-28,0,Standard,BA Norte,Art supply store,VAT registered,15.0,,2.0,1.0
458,Account 0201,Orders,Shipped,43903.0,Rep A,2022-04-21,2022-05-10,0,Standard,Entre Rios,Art supply store,Simplified regime,28.0,Upfront,10.0,4.0
459,Account 0202,Orders,Shipped,45129.0,Rep A,2022-07-04,2022-07-18,0,Standard,BA Norte,Workshop,Simplified regime,28.0,,7.0,10.0
460,Account 0071,Orders,Shipped on credit,44387.0,Rep C,2022-11-17,2023-01-03,1,Potential,CABA,Art supply store,Simplified regime,22.0,30 days,20.0,14.0
461,Account 0138,Orders,Picking,44103.0,Rep C,2022-07-20,2022-08-08,2,Key,Rio Negro,Art supply store,Simplified regime,22.0,Upfront,13.0,10.0
462,Account 0182,Orders,Shipped,42197.0,Rep A,2022-09-09,2022-10-03,3,Standard,AMBA Norte,Art supply store,VAT registered,22.0,Upfront,13.0,6.0
463,Account 0073,Orders,Shipped,45581.0,Rep B,2023-03-13,2023-03-15,1,Potential,Cordoba,Art supply store,Simplified regime,22.0,,2.0,3.0
464,Account 0203,Orders,Shipped,42599.0,Rep A,2022-10-27,2022-11-02,0,Potential,Entre Rios,Art supply store,VAT registered,15.0,,14.0,3.0
465,Account 0204,Orders,Shipped,43714.0,Rep B,2023-03-13,2023-03-17,3,Key,BA Norte,Art supply store,Simplified regime,28.0,Upfront,8.0,6.0
466,Account 0205,Orders,Shipped,44216.0,Rep A,2022-11-24,2022-12-06,0,Standard,Santa Fe,Art supply store,Simplified regime,15.0,,6.0,1.0
467,Account 0086,Orders,Shipped on credit,43698.0,Rep A,2022-08-30,2022-10-04,1,Standard,CABA,Workshop,Simplified regime,22.0,Open account,21.0,12.0
468,Account 0044,Orders,Shipped on credit,44919.0,Rep C,2022-09-07,2022-10-21,1,Potential,CABA,Art supply store,VAT registered,22.0,30 days,16.0,16.0
469,Account 0180,Orders,Shipped on credit,41485.0,Rep A,2022-02-22,2022-04-22,4,Potential,AMBA Norte,Workshop,Final consumer,22.0,30 days,16.0,14.0
470,Account 0206,Orders,Shipped,42926.0,Rep B,2022-10-18,2022-11-01,0,Standard,BA Sur,Workshop,Simplified regime,28.0,,6.0,4.0
471,Account 0207,Orders,Shipped,42316.0,Rep A,2022-09-08,2022-09-19,0,Standard,BA Norte,Art supply store,Final consumer,7.0,Upfront,1.0,2.0
472,,Active customers,Won customer,42590.0,Rep C,2022-03-10,2022-10-31,8,,,,,,,,
473,,Internal,Onboarding,41074.0,Rep C,2022-03-14,2022-10-26,21,,,,,,,,
474,,Reseller onboarding,Onboarding,41138.0,Rep C,2022-09-19,2023-01-05,16,,,,,,,,
475,,Active customers,Won customer,41752.0,Rep C,2022-10-06,2022-10-12,3,,,,,,,,
476,Account 0059,Orders,Shipped on credit,41836.0,Rep A,2022-10-11,2022-11-10,2,Key,Cordoba,Paint store,VAT registered,28.0,Upfront,6.0,4.0
477,Account 0060,Orders,Shipped,42320.0,Rep C,2022-05-16,2022-06-06,8,Key,BA Sur,Paint store,VAT registered,22.0,Upfront,21.0,8.0
478,Account 0208,Orders,Shipped,43080.0,Rep A,2022-04-12,2022-05-06,0,Key,Catamarca,Other,VAT registered,15.0,Upfront,13.0,2.0
479,Account 0153,Orders,Backorder,43179.0,Rep A,2021-12-14,2022-05-06,0,Standard,AMBA Norte,Art supply store,VAT registered,28.0,Upfront,7.0,4.0
480,Account 0024,Orders,Shipped,42213.0,Rep A,2022-05-09,2022-05-17,0,Strategic,CABA,Paint store,VAT registered,28.0,Upfront,13.0,33.0
481,Account 0209,Orders,Shipped,42129.0,Rep A,2022-01-19,2022-02-03,0,Low,Cordoba,Workshop,Simplified regime,7.0,,6.0,3.0
482,Account 0049,Orders,Shipped,41264.0,Rep A,2022-04-18,2022-05-26,3,Standard,AMBA Sur,Art supply store,VAT registered,28.0,,10.0,3.0
483,Account 0053,Orders,Shipped,42832.0,Rep A,2022-07-22,2022-08-09,0,Potential,Neuquen,Art supply store,VAT registered,22.0,Upfront,13.0,4.0
484,Account 0210,Orders,Shipped,41623.0,Rep B,2022-09-15,2022-10-03,2,Standard,Misiones,Paint store,VAT registered,15.0,,12.0,2.0
485,Account 0044,Orders,Shipped on credit,40414.0,Rep A,2022-06-16,2022-08-02,1,Potential,CABA,Art supply store,VAT registered,22.0,30 days,16.0,16.0
486,Account 0147,Orders,Shipped,42016.0,Rep A,2022-10-17,2022-10-28,4,Standard,BA Sur,Art supply store,Simplified regime,22.0,Upfront,13.0,7.0
487,Account 0189,Orders,Shipped,42182.0,Rep A,2022-08-02,2022-08-17,0,Potential,BA Atlantico,Art supply store,Simplified regime,22.0,Upfront,8.0,18.0
488,Account 0211,Orders,Shipped,41113.0,Rep A,2022-04-29,2022-05-11,2,Potential,Santa Fe,Art supply store,VAT registered,22.0,Upfront,21.0,9.0
489,Account 0117,Orders,Shipped,42501.0,Rep A,2022-12-15,2022-12-21,0,Potential,Chaco,Other,VAT registered,22.0,Upfront,10.0,6.0
490,Account 0212,Orders,Shipped,42442.0,Rep A,2022-08-26,2022-09-22,6,Standard,AMBA Norte,Art supply store,VAT registered,15.0,,11.0,2.0
491,Account 0071,Orders,Shipped on credit,42954.0,Rep A,2022-07-08,2022-08-26,2,Potential,CABA,Art supply store,Simplified regime,22.0,30 days,20.0,14.0
492,Account 0213,Orders,Shipped,42726.0,Rep C,2023-01-24,2023-01-26,0,Standard,La Rioja,Workshop,Final consumer,7.0,,3.0,2.0
493,Account 0180,Orders,Shipped on credit,42678.0,Rep A,2023-02-06,2023-03-01,2,Potential,AMBA Norte,Workshop,Final consumer,22.0,30 days,16.0,14.0
494,Account 0214,Orders,Shipped,41192.0,Rep A,2022-02-08,2022-02-11,0,Key,Santa Fe,Art supply store,VAT registered,22.0,,14.0,8.0
495,Account 0215,Orders,Shipped,42991.0,Rep A,2022-10-24,2022-11-01,0,Standard,Cordoba,Workshop,Simplified regime,15.0,,4.0,1.0
496,,Social media lead form,Onboarding,41684.0,Rep C,2022-10-29,2022-12-12,10,,,,,,,,
497,Account 0216,Orders,Shipped,41192.0,Rep B,2022-09-12,2022-09-22,2,Potential,Entre Rios,Workshop,Simplified regime,15.0,Upfront,13.0,9.0
498,Account 0217,Orders,Shipped,41962.0,Rep A,2022-11-23,2022-12-06,0,Standard,Santa Cruz,Art supply store,Simplified regime,22.0,,3.0,3.0
499,Account 0144,Orders,Shipped,40854.0,Rep A,2022-03-18,2022-03-31,0,Standard,BA Atlantico,Art supply store,VAT registered,15.0,Upfront,8.0,4.0
500,Account 0218,Orders,Shipped,41444.0,Rep A,2022-12-12,2022-12-21,0,Potential,Entre Rios,Paint store,VAT registered,15.0,Upfront,5.0,4.0
501,Account 0157,Orders,Shipped,42310.0,Rep A,2022-02-25,2022-03-07,0,Standard,Cordoba,Paint store,VAT registered,7.0,Upfront,20.0,2.0
502,Account 0208,Orders,Shipped,42862.0,Rep A,2022-09-05,2022-09-22,5,Key,Catamarca,Other,VAT registered,15.0,Upfront,13.0,2.0
503,Account 0138,Orders,Shipped,42930.0,Rep B,2022-09-14,2022-10-13,1,Key,Rio Negro,Art supply store,Simplified regime,22.0,Upfront,13.0,10.0
504,Account 0219,Orders,Shipped on credit,41208.0,Rep B,2022-11-14,2022-12-15,4,Standard,AMBA Sur,Paint store,VAT registered,28.0,Upfront,6.0,4.0
505,Account 0060,Orders,Shipped,40922.0,Rep A,2022-03-03,2022-03-17,1,Key,BA Sur,Paint store,VAT registered,22.0,Upfront,21.0,8.0
506,Account 0189,Orders,Shipped,41932.0,Rep B,2022-09-05,2022-09-19,2,Potential,BA Atlantico,Art supply store,Simplified regime,22.0,Upfront,8.0,18.0
507,Account 0220,Orders,Shipped,39946.0,Rep A,2022-06-14,2022-07-07,0,Standard,Misiones,Paint store,VAT registered,28.0,Upfront,3.0,4.0
508,Account 0189,Orders,Shipped,42002.0,Rep A,2022-03-10,2022-03-18,0,Potential,BA Atlantico,Art supply store,Simplified regime,22.0,Upfront,8.0,18.0
509,Account 0147,Orders,Shipped,40505.0,Rep A,2022-02-07,2022-02-22,0,Standard,BA Sur,Art supply store,Simplified regime,22.0,Upfront,13.0,7.0
510,Account 0139,Orders,Shipped,38970.0,Rep A,2022-06-09,2022-07-04,0,Standard,Chubut,Other,Simplified regime,15.0,,4.0,3.0
511,Account 0050,Orders,Shipped,38758.0,Rep A,2022-03-02,2022-03-18,0,Potential,AMBA Sur,Paint store,VAT registered,22.0,Upfront,15.0,7.0
512,Account 0221,Orders,Shipped,41870.0,Rep A,2022-01-14,2022-02-01,0,Standard,CABA,Art supply store,Simplified regime,7.0,,6.0,4.0
513,Account 0189,Orders,Shipped,38655.0,Rep A,2022-02-04,2022-02-10,0,Potential,BA Atlantico,Art supply store,Simplified regime,22.0,Upfront,8.0,18.0
514,Account 0123,Orders,Shipped,39501.0,Rep B,2022-12-05,2022-12-13,8,Standard,Cordoba,Paint store,VAT registered,15.0,,10.0,2.0
515,Account 0222,Orders,Shipped,39704.0,Rep C,2023-02-15,2023-02-17,0,Standard,BA Norte,Other,Final consumer,7.0,,5.0,2.0
516,Account 0044,Orders,Shipped on credit,38995.0,Rep A,2021-10-29,2022-01-21,0,Potential,CABA,Art supply store,VAT registered,22.0,30 days,16.0,16.0
517,Account 0211,Orders,Shipped,39498.0,Rep A,2022-07-05,2022-07-26,2,Potential,Santa Fe,Art supply store,VAT registered,22.0,Upfront,21.0,9.0
518,Account 0114,Orders,Shipped,41129.0,Rep A,2022-08-31,2022-09-09,2,Potential,BA Atlantico,Paint store,VAT registered,28.0,,10.0,5.0
519,Account 0223,Orders,Shipped,38159.0,Rep A,2022-07-06,2022-07-18,0,Standard,AMBA Norte,Paint store,VAT registered,28.0,,4.0,1.0
520,Account 0033,Orders,Shipped,41369.0,Rep A,2021-12-29,2022-01-12,0,Standard,Entre Rios,Paint store,Simplified regime,28.0,Upfront,10.0,6.0
521,Account 0224,Orders,Shipped,41399.0,Rep A,2022-03-11,2022-03-18,0,Standard,CABA,Workshop,VAT registered,22.0,Upfront,6.0,2.0
522,Account 0004,Orders,Shipped on credit,39446.0,Rep A,2022-07-19,2022-08-11,1,Key,Salta,Art supply store,Simplified regime,22.0,Open account,13.0,6.0
523,Account 0225,Orders,Shipped,38386.0,Rep B,2022-11-24,2022-12-01,5,Standard,AMBA Sur,Other,VAT registered,15.0,Upfront,12.0,4.0
524,Account 0226,Orders,Shipped,40157.0,Rep C,2022-02-04,2022-02-11,1,Standard,AMBA Sur,Art supply store,VAT registered,15.0,Upfront,15.0,2.0
525,Account 0024,Orders,Shipped,38164.0,Rep A,2022-02-17,2022-03-07,0,Strategic,CABA,Paint store,VAT registered,28.0,Upfront,13.0,33.0
526,,Active customers,Won customer,39114.0,Rep C,2022-03-29,2022-10-31,15,,,,,,,,
527,,Active customers,Won customer,41468.0,Rep C,2022-04-01,2022-10-31,7,,,,,,,,
528,Account 0180,Orders,Shipped on credit,41605.0,Rep A,2022-11-01,2022-11-28,1,Potential,AMBA Norte,Workshop,Final consumer,22.0,30 days,16.0,14.0
529,Account 0207,Orders,Shipped,40665.0,Rep B,2023-01-25,2023-01-27,1,Standard,BA Norte,Art supply store,Final consumer,7.0,Upfront,1.0,2.0
530,Account 0006,Orders,Shipped on credit,38813.0,Rep B,2022-11-29,2023-01-12,1,Strategic,AMBA Sur,Art supply store,VAT registered,22.0,,9.0,5.0
531,Account 0211,Orders,Shipped,40262.0,Rep A,2022-11-14,2022-11-16,1,Potential,Santa Fe,Art supply store,VAT registered,22.0,Upfront,21.0,9.0
532,Account 0201,Orders,Shipped,40330.0,Rep A,2022-02-16,2022-03-10,0,Standard,Entre Rios,Art supply store,Simplified regime,28.0,Upfront,10.0,4.0
533,Account 0203,Orders,Shipped,38944.0,Rep B,2023-01-25,2023-02-06,0,Potential,Entre Rios,Art supply store,VAT registered,15.0,,14.0,3.0
534,Account 0227,Orders,Shipped,39712.0,Rep B,2023-01-09,2023-01-20,3,Potential,BA Sur,Paint store,VAT registered,15.0,,4.0,3.0
535,Account 0186,Orders,Shipped,37112.0,Rep A,2023-03-14,2023-03-15,3,Standard,Santiago del Estero,Workshop,Simplified regime,22.0,,13.0,8.0
536,Account 0211,Orders,Shipped,37861.0,Rep A,2022-12-05,2022-12-13,0,Potential,Santa Fe,Art supply store,VAT registered,22.0,Upfront,21.0,9.0
537,Account 0103,Orders,Shipped,39076.0,Rep A,2022-08-08,2022-08-17,0,Standard,BA Norte,Art supply store,Simplified regime,28.0,Upfront,7.0,8.0
538,Account 0228,Orders,Shipped,37484.0,Rep A,2022-08-16,2022-08-23,0,Key,AMBA Norte,Other,Simplified regime,22.0,Upfront,11.0,8.0
539,Account 0188,Orders,Shipped,37487.0,Rep A,2022-12-23,2022-12-27,0,Standard,Corrientes,Art supply store,VAT registered,,,5.0,6.0
540,Account 0229,Orders,Shipped,40050.0,Rep A,2021-11-09,2021-11-12,0,Standard,AMBA Sur,Art supply store,Final consumer,7.0,,10.0,4.0
541,Account 0105,Orders,Shipped,40639.0,Rep A,2022-08-01,2022-08-17,2,Key,Catamarca,Art supply store,VAT registered,22.0,Upfront,13.0,4.0
542,,Active customers,Won customer,38952.0,Rep C,2022-03-18,2022-10-31,18,,,,,,,,
543,Account 0004,Orders,Shipped,39989.0,Rep A,2022-03-16,2022-05-09,0,Key,Salta,Art supply store,Simplified regime,22.0,Open account,13.0,6.0
544,Account 0230,Orders,Shipped,40538.0,Rep A,2022-04-27,2022-05-10,0,Churned,Santa Fe,Art supply store,VAT registered,22.0,,7.0,1.0
545,Account 0041,Orders,Shipped,37241.0,Rep C,2022-06-23,2022-07-18,3,Key,Cordoba,Art supply store,Simplified regime,22.0,30 days,10.0,11.0
546,Account 0231,Orders,Shipped,38348.0,Rep A,2023-03-16,2023-03-31,3,Standard,Jujuy,Art supply store,Simplified regime,22.0,Upfront,10.0,11.0
547,Account 0195,Orders,Shipped,38132.0,Rep B,2023-01-13,2023-01-17,0,Potential,BA Centro,Paint store,VAT registered,22.0,,15.0,12.0
548,Account 0062,Orders,Shipped,36854.0,Rep C,2022-06-07,2022-07-07,2,Potential,Entre Rios,Paint store,VAT registered,22.0,,10.0,6.0
549,Account 0044,Orders,Shipped on credit,39420.0,Rep A,2022-03-03,2022-05-11,1,Potential,CABA,Art supply store,VAT registered,22.0,30 days,16.0,16.0
550,Account 0050,Orders,Shipped,38179.0,Rep A,2022-06-02,2022-07-07,4,Potential,AMBA Sur,Paint store,VAT registered,22.0,Upfront,15.0,7.0
551,Account 0147,Orders,Shipped,38312.0,Rep A,2021-11-17,2022-01-12,0,Standard,BA Sur,Art supply store,Simplified regime,22.0,Upfront,13.0,7.0
552,Account 0195,Orders,Shipped,37056.0,Rep A,2022-08-02,2022-08-17,0,Potential,BA Centro,Paint store,VAT registered,22.0,,15.0,12.0
553,Account 0002,Orders,Shipped on credit,37152.0,Rep A,2022-01-25,2022-05-23,1,Strategic,CABA,Paint store,VAT registered,30.0,Open account,5.0,7.0
554,Account 0071,Orders,Shipped on credit,39862.0,Rep A,2022-04-21,2022-07-06,1,Potential,CABA,Art supply store,Simplified regime,22.0,30 days,20.0,14.0
555,Account 0232,Orders,Shipped,36554.0,Rep C,2022-07-06,2022-07-27,4,Potential,CABA,Art supply store,VAT registered,22.0,,15.0,4.0
556,Account 0024,Orders,Shipped,37077.0,Rep A,2022-11-03,2022-11-07,0,Strategic,CABA,Paint store,VAT registered,28.0,Upfront,13.0,33.0
557,Account 0233,Orders,Shipped,37301.0,Rep A,2022-09-30,2022-10-13,0,Low,Santa Cruz,Other,VAT registered,15.0,,2.0,2.0
558,Account 0234,Orders,Shipped,38044.0,Rep B,2022-10-17,2022-11-01,1,Standard,BA Este,Art supply store,Simplified regime,22.0,Upfront,8.0,11.0
559,Account 0082,Orders,Shipped,38383.0,Rep C,2022-08-22,2022-10-24,4,Potential,AMBA Sur,Art supply store,VAT registered,22.0,Upfront,16.0,6.0
560,Account 0235,Orders,Shipped,37935.0,Rep C,2023-03-14,2023-03-17,0,Low,CABA,Workshop,Final consumer,7.0,,3.0,1.0
561,Account 0206,Orders,Shipped,36324.0,Rep A,2022-06-27,2022-07-18,0,Standard,BA Sur,Workshop,Simplified regime,28.0,,6.0,4.0
562,Account 0052,Orders,Shipped,36793.0,Rep A,2022-05-26,2022-06-06,0,Standard,Chaco,Paint store,VAT registered,7.0,,8.0,2.0
563,Account 0236,Orders,Shipped,39055.0,Rep A,2022-05-04,2022-05-11,0,Churned,Santa Cruz,Other,Simplified regime,28.0,Upfront,3.0,1.0
564,Account 0237,Orders,Shipped,38220.0,Rep A,2022-10-05,2022-10-17,0,Standard,Tucuman,Art supply store,Simplified regime,15.0,,3.0,1.0
565,Account 0228,Orders,Shipped,38232.0,Rep A,2023-04-18,2023-04-18,0,Key,AMBA Norte,Other,Simplified regime,22.0,Upfront,11.0,8.0
